Sample File	D:\OlinCollege\All_data\OlinCollege\IQ Air\Low2.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
Date	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17	04/08/17
Start Time	14:26:39	14:31:43	14:36:43	14:41:43	14:46:43	14:51:43	14:56:43	15:01:43	15:06:43	15:11:43	15:16:43	15:21:43	15:26:43	15:31:43	15:36:43	15:41:43	15:46:43	15:51:43	15:56:43	16:01:43	16:06:43	16:11:43	16:16:43	16:21:43	16:26:43	16:31:43	16:36:43	16:41:43	16:46:43	16:51:43
Diameter Midpoint
 73.7	12.6491	97.8805	54.1927	52.6407	60.8335	125.792	140.498	215.948	54.1054	15.8302	183.147	279.829	49.2825	692.757	380.052	300.608	132.477	90.0865	52.9812	30.6041	31.7992	15.9073	18.1192	0	18.1593	19.1369	18.1505	0	0	0
 76.4	45.1985	42.3644	93.3971	11.842	102.154	152.026	138.837	108.102	141.6	122.657	153.908	304.473	187.215	587.963	413.558	332.137	140.777	94.2958	13.2936	91.4871	17.23	0	0	0	55.6865	0	0	18.4369	0	0
 79.1	52.685	74.2455	3.01357	112.427	198.139	195.941	78.8902	126.452	100.836	137.166	67.7485	124.412	81.9121	657.426	217.885	312.022	164.783	143.242	8.35038	29.2956	12.9608	0	29.4412	17.8885	46.9313	14.0464	0	15.9145	37.3241	18.5892
 82.0	6.96229	56.9491	106.299	63.0263	4.05825	96.2975	115.081	212.163	80.5009	38.0098	149.422	87.1946	171.948	520.4	550.882	255.502	127.758	100.56	40.4549	29.9678	11.2805	13.0001	0	0	31.3539	16.9135	0	25.5108	17.6312	18.3623
 85.1	39.0703	125.969	46.3473	33.0902	186.303	193.346	175.336	104.409	24.8875	81.1917	161.281	31.1728	104.681	538.038	229.12	330.124	140.659	169.496	103.738	6.95452	32.1157	0	0	0	0	0	0	0	0	0
 88.2	27.0097	33.0943	23.1783	85.9483	97.4403	55.9139	136.748	107.059	51.3243	74.3423	69.0606	21.5595	133.726	767.264	303.129	194.616	41.9604	58.9386	47.6951	27.3723	0	0	0	34.4831	0	0	0	0	0	14.9633
 91.4	44.7575	35.0744	44.8647	73.3865	73.3819	94.4381	94.7277	59.7175	175.537	62.1697	71.5995	106.908	138.21	571.316	430.672	262.547	186.745	126.215	79.3496	8.9116	14.5165	35.219	44.1306	32.4843	0	14.8748	14.3811	0	0	0
 94.7	107.243	36.9035	25.3391	65.0499	70.7268	123.931	196.121	25.2988	130.106	63.3494	110.615	82.3972	52.7109	615.016	299.547	254.089	83.3126	10.7813	23.8099	22.74	28.7972	0	6.37972	11.4958	27.7661	0	47.1744	15.452	14.8721	15.452
 98.2	5.4324	35.2607	86.8863	35.9596	54.1614	74.6158	151.354	94.2261	93.5999	102.441	88.1413	80.8388	107.773	488.668	392.239	155.673	129.131	119.753	17.9798	17.5388	0	20.3675	0	8.36128	7.79605	10.1618	0	0	0	14.887
101.8	48.7377	26.3291	23.2634	0	57.2447	90.9449	40.6549	72.576	94.9311	54.3288	44.1927	161.11	75.6634	628.15	349.798	149.853	127.201	40.3837	0	9.38408	64.116	7.29559	0	0	22.2803	0	0	0	14.2729	17.0732
