Sample File	D:\OlinCollege\All_data\OlinCollege\Austin Air NO PREFILTER\Medium 4.S80
Classifier Model	3080
DMA Model	3085
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01905
DMA Characteristic Length(cm)	0.04987
CPC Model	3775 Low Flow
Gas Viscosity (kg/(m*s))	1.822e-005
Mean Free Path (m)	6.642e-008
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Date	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17	03/25/17
Start Time	12:58:28	13:03:31	13:08:31	13:13:31	13:18:31	13:23:31	13:28:31	13:33:31	13:38:32	13:43:31	13:48:31	13:53:31	13:58:31	14:03:31	14:08:32	14:13:32	14:18:32	14:23:32	14:28:32	14:33:32	14:38:32	14:43:32	14:48:32
Diameter Midpoint
 71.0	1923.34	2025.2	2015.43	1723.32	2194.3	1538.4	1691.72	2442.7	1364.07	948.66	436.206	434.634	218.862	225.011	174.364	219.902	216.85	125.595	153.61	157.655	125.155	119.373	288.755
 73.7	1713.27	1644.01	1686.29	1798.28	1456.14	1332.64	1581.36	2559.54	1406.59	719.437	434.742	436.83	216.58	207.949	171.393	121.372	79.9873	144.998	195.892	96.1984	104.244	107.807	60.555
 76.4	1497.55	1483.87	1459.76	1517.5	1283.72	1631.29	1315.38	2356.71	1298.25	977.351	626.712	488.647	333.108	163.488	118.795	98.4211	52.1797	120.866	147.687	81.9693	85.1683	215.658	151.611
 79.1	1357.92	1595.96	1401.19	1542.17	1568.62	1389.49	1009.52	2088.21	1332.45	819.826	650.99	266.921	248.235	137.276	226.052	156.592	90.3128	85.2994	116.574	214.724	121.309	58.3513	44.3973
 82.0	1394.98	1807.41	1385.13	1491.55	1522.3	1281.83	1411.69	2059.76	1232.91	645.573	428.644	211.76	236.333	223.982	293.715	245.957	115.794	17.9284	109.967	131.561	148.74	177.074	140.512
 85.1	1626.22	1437.96	1615.45	1494.59	1266.86	1289.77	1408.58	1864.71	814.094	569.945	553.263	410.136	306.262	208.572	197.437	252.357	113.409	214.311	210.179	103.302	156.136	138.86	211.211
 88.2	1182.94	1334.17	1632.28	1172.89	1247.29	1584.71	1300.57	1741.25	981.614	772.845	446.68	298.412	145.331	211.744	240.585	85.5834	156.428	123.133	136.91	219.623	230.454	115.561	197.139
 91.4	1237.66	1241.24	1217.45	1359.12	1568	1262.98	1217.36	1440.89	1086.41	848.005	662.245	389.501	232.823	190.193	169.542	134.814	24.2896	115.903	194.239	91.428	24.8453	166.892	62.0611
 94.7	1475.86	1210.3	1319.48	1161.39	1399.66	1407.72	969.972	1733.63	1281.32	603.9	391.155	412.098	339.534	185.992	146.505	147.191	61.1593	117.206	22.1566	126.962	80.0258	159.433	81.5412
 98.2	1558.22	1125.98	1370.55	1229.45	1173.52	1334.32	1126.27	1487.92	958.837	415.971	555.426	380.541	200.074	134.85	186.774	163.744	63.9854	128.311	124.777	260.716	129.725	0	137.253
