Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017,3/21/2017
Start Time,15:09:47,15:14:50,15:19:50,15:24:51,15:29:50,15:34:50,15:39:50,15:44:50,15:49:50,15:54:50,15:59:50,16:04:50,16:09:51,16:14:50,16:19:50,16:24:51,16:29:51,16:34:51,16:39:51,16:44:50,16:49:51,16:54:51,16:59:51,17:04:51
Diameter Midpoint,,,,,,,,,,,,,,,,,,,,,,,,
121.9,1720.12,1809.93,1641.77,1686.37,1935.13,1910.23,1662.95,1556.15,2659.84,2124.78,1593.68,1128.12,987.574,835.163,533.348,373.326,316.861,422.89,315.385,198.258,132.172,216.256,183.213,265.82
126.3,1470.68,1675.08,1476.57,1718.73,1784.04,1412.59,1353.53,1758.8,2358.39,1907.5,1571.45,1270.28,781.131,788.35,541.913,382.58,425.179,378.723,305.082,214.061,148.196,193.676,146.725,261.988
131,1511.39,1670.62,1707.82,1452.02,1365.32,1553.82,1354.61,1630.39,2086.12,1846.47,1398.67,1144.55,776.378,570.617,459.304,406.22,360.825,410.065,202.977,295.438,147.719,150.158,164.132,245.933
135.8,1404.06,1277.27,1589.57,1345.83,1470.31,1365.77,1072.71,1299.52,2061.35,1324.77,1166.1,863.575,907.356,690.271,507.499,379.65,297.838,265.113,232.388,212.711,81.8121,196.349,147.262,183.301
140.7,1182.36,1115.58,1579.82,1371.8,1368.12,1286.8,1454.92,1550.87,1556.26,1434.25,1040.38,1043.97,664.011,570.569,404.255,279.2,282.838,197.254,242.784,180.282,180.282,147.503,81.9463,144.448
145.9,1173.31,1661.14,1228.41,1255.4,1051.45,1303.22,1267.41,1120.77,1730.09,1325.48,944.215,817.953,628.621,350.549,417.386,309.746,273.265,193.376,165.624,82.0919,101.392,131.347,82.0919,147.765
151.2,1646.41,1208.75,1294.8,1411.56,1016.46,1187.35,1241.37,1118.28,1540.4,1394.98,1125.34,839.933,664.847,419.957,306.072,244.162,256.953,274.762,260.535,127.403,157.277,147.359,114.613,127.403
156.8,1601.15,885.936,883.579,796.318,1014.83,1106.09,1031.24,989.911,1436.47,1119.32,985.914,835.693,653.276,398.671,495.776,419.999,102.027,172.574,114.844,134.839,134.839,82.0311,98.4373,167.652
Scan Up Time(s),240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240
Retrace Time(s),60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Aerosol Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CPC Inlet Flow(lpm),0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
